timestamp,pf_x,pf_y,gt_x,gt_y,error
1775317062.5434775,3236795.5894073355,-4690827.260200433,0.0,0.0,5699184.684904174
1775317062.544871,3236795.5944240033,-4690827.259136518,0.0,0.0,5699184.686877664
1775317062.5634959,3236795.5956658428,-4690827.257439887,0.0,0.0,5699184.686186508
1775317062.5649078,3236795.5944809155,-4690827.250735507,0.0,0.0,5699184.679995367
1775317062.5834403,3236795.593505732,-4690827.250756066,0.0,0.0,5699184.679458443
1775317062.5846226,3236795.5691090417,-4690827.2356378045,0.0,0.0,5699184.653159198
1775317062.6035044,3236795.5704262666,-4690827.235180824,0.0,0.0,5699184.653531177
1775317062.6047971,3236795.5668555107,-4690827.232555101,0.0,0.0,5699184.649342047
1775317062.6234548,3236795.567693446,-4690827.233339292,0.0,0.0,5699184.650463388
1775317062.6246648,3236795.570192569,-4690827.228895878,0.0,0.0,5699184.6482255
1775317062.6435213,3236795.568046813,-4690827.229533761,0.0,0.0,5699184.647531861
1775317062.6449084,3236795.561271551,-4690827.22090717,0.0,0.0,5699184.636583632
1775317062.6634414,3236795.561706045,-4690827.218834985,0.0,0.0,5699184.635124845
1775317062.664598,3236795.5662440676,-4690827.227029634,0.0,0.0,5699184.644446938
1775317062.683526,3236795.563443207,-4690827.2231207825,0.0,0.0,5699184.639638959
1775317062.684766,3236795.5561623843,-4690827.239318201,0.0,0.0,5699184.648835496
1775317062.7034183,3236795.552830801,-4690827.238132658,0.0,0.0,5699184.645967572
1775317062.7045832,3236795.5596833033,-4690827.25182075,0.0,0.0,5699184.6611256385
1775317062.7234805,3236795.555055118,-4690827.251930847,0.0,0.0,5699184.658587724
1775317062.7248757,3236795.5450585973,-4690827.275859752,0.0,0.0,5699184.67260546
1775317062.7435021,3236795.5452739825,-4690827.276466962,0.0,0.0,5699184.673227562
1775317062.7449033,3236795.5424735094,-4690827.2866966305,0.0,0.0,5699184.680056794
1775317062.7634027,3236795.545718296,-4690827.289645107,0.0,0.0,5699184.68432644
1775317062.7645595,3236795.5300569357,-4690827.293398827,0.0,0.0,5699184.6785213
1775317062.783458,3236795.5293972534,-4690827.292004745,0.0,0.0,5699184.676999213
1775317062.7846763,3236795.539886754,-4690827.297502525,0.0,0.0,5699184.687481677
1775317062.8035915,3236795.5408784044,-4690827.296640036,0.0,0.0,5699184.687334986
1775317062.8050308,3236795.5302067385,-4690827.292668466,0.0,0.0,5699184.67800524
1775317062.8235815,3236795.5297735,-4690827.291630035,0.0,0.0,5699184.676904486
1775317062.824998,3236795.515822637,-4690827.271365007,0.0,0.0,5699184.652301697
1775317062.8435218,3236795.5171661107,-4690827.273194041,0.0,0.0,5699184.654570132
1775317062.844929,3236795.509813687,-4690827.258222726,0.0,0.0,5699184.638071957
1775317062.863673,3236795.5097261793,-4690827.258067262,0.0,0.0,5699184.637894301
1775317062.8651452,3236795.5157237495,-4690827.271459846,0.0,0.0,5699184.652323593
1775317062.883424,3236795.5170721924,-4690827.274663757,0.0,0.0,5699184.65572647
1775317062.8846004,3236795.51521509,-4690827.272797999,0.0,0.0,5699184.653136099
1775317062.9035037,3236795.515221668,-4690827.273515455,0.0,0.0,5699184.6537303515
1775317062.9048846,3236795.529041276,-4690827.239242657,0.0,0.0,5699184.633370153
1775317062.9234076,3236795.5280709495,-4690827.236828293,0.0,0.0,5699184.630831875
1775317062.9245722,3236795.533143751,-4690827.239907849,0.0,0.0,5699184.636247612
1775317062.9434166,3236795.532468277,-4690827.238766406,0.0,0.0,5699184.634924496
1775317062.9445922,3236795.5321143777,-4690827.251674587,0.0,0.0,5699184.645347837
