particles,beams,hz
200,100,39.886
200,150,17.880
200,200,14.263
200,400,8.455
250,100,25.624
250,150,14.917
250,200,11.263
250,400,6.832
300,100,17.536
300,150,12.520
300,200,9.821
300,400,5.663
350,100,15.323
350,150,12.264
350,200,8.520
350,400,4.440
400,100,13.536
400,150,9.559
400,200,7.325
400,400,4.367
