timestamp,pf_x,pf_y,gt_x,gt_y,error,std_x,std_y,std_theta
1775422113.6071565,-9.31057688357318,-2.9315480944628325,-9.36917781829834,-3.213521957397461,0.28799883494371825,nan,nan,nan
1775422113.6154966,-9.313874899357273,-2.9373829992160876,-9.36917781829834,-3.213521957397461,0.2816223305579592,0.4352852469477068,0.05865839627599226,0.023043585073001433
1775422113.6275914,-8.985837835938474,-2.930041160886897,-9.36917781829834,-3.213521957397461,0.47677133309997366,0.43499206945899227,0.12634735768854669,0.05952571032581173
1775422113.635493,-8.991171752615235,-2.926319903206521,-9.36917781829834,-3.213521957397461,0.47473530058835417,0.2658578665158773,0.05997310267477231,0.02057245638929898
1775422113.6463766,-9.01464548868581,-2.9567828015077784,-9.36917781829834,-3.213521957397461,0.43773070135350833,0.2641947056264014,0.11222764424143984,0.05427252609450101
1775422113.666585,-9.050168210968177,-2.9445270007586597,-9.36917781829834,-3.213521957397461,0.41728337645544306,0.20084624646896954,0.06400801582266044,0.020181658584929065
1775422113.6684115,-9.056442997585803,-2.949302107611152,-9.36917781829834,-3.213521957397461,0.40940835007019866,0.18650021752995663,0.052253634701729425,0.021119044246457816
1775422113.6754618,-9.056179742110668,-2.9474104568559336,-9.36917781829834,-3.213521957397461,0.41083223634185134,0.19058127501999025,0.09684442313867547,0.05408482849372469
1775422113.6867495,-9.178999124529103,-2.951997941048563,-9.36917781829834,-3.213521957397461,0.32336163453791467,0.19452973575295088,0.14212363237525089,0.07091519798868323
1775422113.6955628,-9.179466267876995,-2.9539004926697565,-9.36917781829834,-3.213521957397461,0.32154902784898787,0.15703008040321134,0.055429422909047656,0.02024564732636172
1775422113.706843,-9.27533564518249,-2.9220431670505684,-9.36917781829834,-3.213521957397461,0.30621273434851254,0.16108281242037423,0.10804492561109531,0.051708038931996096
1775422113.7155218,-9.28491887205356,-2.9315940191053667,-9.36917781829834,-3.213521957397461,0.29424977894963955,0.09101781805501648,0.053820256379569324,0.01918025493779173
1775422113.726666,-9.292239436459129,-2.9318093277877564,-9.36917781829834,-3.213521957397461,0.29202999894129167,0.10305312205584977,0.11467107894678649,0.054665526174008744
1775422113.7354286,-9.29600075228566,-2.928939876000752,-9.36917781829834,-3.213521957397461,0.2938398271887373,0.10274522978965174,0.0639735737369862,0.021505606640397558
1775422113.7468572,-9.232641068942405,-2.9296429859192665,-9.36917781829834,-3.213521957397461,0.3150072290792752,0.11486647178996244,0.12031798262565617,0.056789578316516834
1775422113.7557385,-9.236494066912392,-2.9211056983355626,-9.36917781829834,-3.213521957397461,0.3211109565953849,0.11418966496025343,0.056504941687809014,0.02249821309739422
1775422113.768056,-9.304547445217557,-2.9407162692235636,-9.36917781829834,-3.213521957397461,0.2803569664277936,0.12536524369420846,0.11371522004026471,0.05351734069287227
1775422113.7754364,-9.311376727434606,-2.933718815346782,-9.36917781829834,-3.213521957397461,0.2857109805493483,0.17232317775369746,0.05468452778746704,0.020451368544038992
1775422113.787258,-9.270215376286735,-2.9303650418012688,-9.36917781829834,-3.213521957397461,0.2999523358449626,0.17733578458784544,0.116844049166728,0.05337032757193834
1775422113.7954123,-9.265238365775998,-2.9104856233657563,-9.36917781829834,-3.213521957397461,0.3203660867414324,0.13289165168071154,0.05729100530552716,0.020738556976635233
1775422113.8066008,-9.234800703337873,-2.938683771077349,-9.36917781829834,-3.213521957397461,0.30593011895664535,0.14478868864711159,0.11152048480742387,0.05464280846872884
1775422113.8156495,-9.233907309618083,-2.930063642898381,-9.36917781829834,-3.213521957397461,0.3140807644178086,0.08972140924571899,0.05470470853241996,0.019913507233600046
